"","Year","State","Label","Population.16.years.and.over","In.labor.force","Employed","Unemployed","Armed.Forces","Not.in.labor.force","Unemployment.Rate","Females.16.years.and.over","Females.in.Labor.Force","Females.Employed","Agriculture..forestry..fishing.and.hunting..and.mining","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing..and.utilities","Information","Finance.and.insurance..and.real.estate.and.rental.and.leasing","Professional..scientific..and.management..and.administrative.and.waste.management.services","Educational.services..and.health.care.and.social.assistance","Arts..entertainment..and.recreation..and.accommodation.and.food.services","Other.services..except.public.administration","Public.administration","Total.households","Less.than..10.000","X.10.000.to..14.999","X.15.000.to..24.999","X.25.000.to..34.999","X.35.000.to..49.999","X.50.000.to..74.999","X.75.000.to..99.999","X.100.000.to..149.999","X.150.000.to..199.999","X.200.000.or.more","Median.household.income..dollars.","Mean.household.income..dollars.","Enrollment","Above.Or.Below.US.Mean.Income","total_enrollment"
"207",2018,"Delaware","Estimate","788,299","489,706","458,434","27,858","3,414","298,593",NA,"410,644","239,601","226,237","6,146","30,425","40,645","9,328","56,067","23,602","4,631","40,218","43,474","114,026","43,498","21,192","25,182","367,671","22,040","14,567","30,670","34,266","42,368","67,040","50,462","57,871","24,090","24,297","64,805",84896,60010,"Above",19635889
"208",2018,"Colorado","Percent","4,570,149","68.7%","65.3%","2.7%","0.7%","31.3%",3.9,"2,280,523","63.4%","60.9%","2.3%","8.2%","6.5%","2.3%","11.1%","4.8%","2.8%","7.0%","14.1%","21.0%","10.5%","4.8%","4.8%","2,176,757","4.9%","3.3%","7.2%","7.4%","11.7%","17.5%","13.6%","17.5%","8.2%","8.7%","(X)",NA,360537,"",19635889
"209",2018,"Alabama","Estimate","3,930,579","2,231,613","2,094,271","124,835","12,507","1,698,966",NA,"2,058,095","1,068,274","1,005,642","27,779","148,005","295,039","54,251","233,006","118,685","31,038","111,736","211,524","466,839","179,783","106,061","110,525","1,855,184","169,158","110,519","219,893","188,260","241,551","321,964","222,472","224,720","82,375","74,272","49,861",69091,304182,"Below",19635889
"210",2018,"Alabama","Percent","3,930,579","56.8%","53.3%","3.2%","0.3%","43.2%",5.6,"2,058,095","51.9%","48.9%","1.3%","7.1%","14.1%","2.6%","11.1%","5.7%","1.5%","5.3%","10.1%","22.3%","8.6%","5.1%","5.3%","1,855,184","9.1%","6.0%","11.9%","10.1%","13.0%","17.4%","12.0%","12.1%","4.4%","4.0%","(X)",NA,304182,"",19635889
"211",2018,"Alaska","Percent","572,880","67.9%","60.4%","4.4%","3.1%","32.1%",6.8,"273,608","63.3%","59.3%","4.6%","5.6%","4.5%","1.4%","10.8%","8.1%","2.2%","3.2%","8.9%","23.8%","10.1%","4.6%","12.1%","254,551","4.5%","3.3%","6.4%","6.6%","10.3%","19.3%","13.4%","19.0%","8.3%","8.8%","(X)",NA,25692,"",19635889
"212",2018,"Alaska","Estimate","572,880","388,885","345,769","25,410","17,706","183,995",NA,"273,608","173,254","162,128","15,884","19,458","15,461","4,935","37,178","28,154","7,578","11,023","30,893","82,411","34,973","15,879","41,942","254,551","11,444","8,384","16,322","16,783","26,253","49,251","34,149","48,405","21,159","22,401","74,346",96080,25692,"Above",19635889
"213",2018,"District of Columbia","Estimate","586,358","414,568","380,983","31,074","2,511","171,790",NA,"311,354","216,336","199,652","1,196","10,184","4,768","1,623","16,725","12,842","14,872","24,643","90,880","71,631","36,991","33,531","61,097","287,476","26,780","13,332","15,623","16,939","22,441","35,032","30,730","47,391","26,259","52,949","85,203",124946,97776,"Above",19635889
"214",2018,"District of Columbia","Percent","586,358","70.7%","65.0%","5.3%","0.4%","29.3%",7.5,"311,354","69.5%","64.1%","0.3%","2.7%","1.3%","0.4%","4.4%","3.4%","3.9%","6.5%","23.9%","18.8%","9.7%","8.8%","16.0%","287,476","9.3%","4.6%","5.4%","5.9%","7.8%","12.2%","10.7%","16.5%","9.1%","18.4%","(X)",NA,97776,"",19635889
"215",2018,"Connecticut","Percent","2,933,506","66.0%","62.1%","3.6%","0.2%","34.0%",5.5,"1,517,726","61.7%","58.4%","0.5%","6.1%","10.6%","2.3%","10.8%","4.4%","2.0%","8.8%","11.6%","26.0%","8.4%","5.0%","3.5%","1,378,091","5.3%","3.9%","7.2%","7.2%","10.1%","15.5%","12.2%","16.9%","9.3%","12.4%","(X)",NA,197236,"",19635889
"216",2018,"California","Percent","31,575,203","63.9%","60.0%","3.5%","0.4%","36.1%",5.5,"15,983,340","57.9%","54.5%","2.3%","6.6%","8.9%","2.8%","10.4%","5.6%","2.8%","5.9%","13.7%","20.9%","10.5%","5.3%","4.4%","13,072,122","5.1%","3.9%","7.5%","7.2%","10.4%","15.6%","12.3%","16.6%","8.9%","12.4%","(X)",NA,2723547,"",19635889
"217",2018,"Arizona","Estimate","5,714,007","3,415,877","3,215,136","181,757","18,984","2,298,130",NA,"2,895,470","1,591,010","1,504,472","40,260","220,968","222,616","70,654","375,214","176,760","63,165","271,798","406,278","697,513","360,698","155,333","153,879","2,614,298","157,644","94,826","248,145","243,488","353,693","500,074","342,393","371,907","149,497","152,631","59,246",80477,581985,"Below",19635889
"218",2018,"Arizona","Percent","5,714,007","59.8%","56.3%","3.2%","0.3%","40.2%",5.4,"2,895,470","54.9%","52.0%","1.3%","6.9%","6.9%","2.2%","11.7%","5.5%","2.0%","8.5%","12.6%","21.7%","11.2%","4.8%","4.8%","2,614,298","6.0%","3.6%","9.5%","9.3%","13.5%","19.1%","13.1%","14.2%","5.7%","5.8%","(X)",NA,581985,"",19635889
"219",2018,"Florida","Estimate","17,561,780","10,316,295","9,734,940","530,845","50,510","7,245,485",NA,"9,060,787","4,920,808","4,656,007","91,537","756,277","499,441","252,602","1,204,325","577,259","167,011","743,240","1,297,713","2,031,718","1,162,627","535,917","415,273","7,809,358","511,203","351,037","791,551","786,200","1,083,565","1,437,072","947,939","1,030,659","403,407","466,725","55,462",79968,1067147,"Below",19635889
"220",2018,"Florida","Percent","17,561,780","58.7%","55.4%","3.0%","0.3%","41.3%",5.2,"9,060,787","54.3%","51.4%","0.9%","7.8%","5.1%","2.6%","12.4%","5.9%","1.7%","7.6%","13.3%","20.9%","11.9%","5.5%","4.3%","7,809,358","6.5%","4.5%","10.1%","10.1%","13.9%","18.4%","12.1%","13.2%","5.2%","6.0%","(X)",NA,1067147,"",19635889
"221",2018,"Delaware","Percent","788,299","62.1%","58.2%","3.5%","0.4%","37.9%",5.7,"410,644","58.3%","55.1%","1.3%","6.6%","8.9%","2.0%","12.2%","5.1%","1.0%","8.8%","9.5%","24.9%","9.5%","4.6%","5.5%","367,671","6.0%","4.0%","8.3%","9.3%","11.5%","18.2%","13.7%","15.7%","6.6%","6.6%","(X)",NA,60010,"",19635889
"222",2018,"Colorado","Estimate","4,570,149","3,138,416","2,982,794","122,498","33,124","1,431,733",NA,"2,280,523","1,446,337","1,388,441","67,846","244,390","194,121","68,555","330,730","142,312","82,194","209,293","419,623","626,583","311,855","143,291","142,001","2,176,757","105,586","70,926","156,051","162,083","253,633","381,196","297,089","381,251","179,501","189,441","71,953",96218,360537,"Above",19635889
"223",2018,"Arkansas","Percent","2,389,608","57.9%","55.1%","2.6%","0.2%","42.1%",4.5,"1,230,112","53.4%","51.0%","2.9%","6.7%","14.3%","2.4%","12.8%","5.7%","1.4%","4.5%","7.7%","24.6%","8.0%","4.8%","4.3%","1,156,347","8.2%","6.1%","12.3%","11.3%","15.2%","17.8%","10.6%","11.3%","3.8%","3.6%","(X)",NA,160644,"",19635889
"224",2018,"Arkansas","Estimate","2,389,608","1,382,752","1,317,275","61,872","3,605","1,006,856",NA,"1,230,112","657,382","627,788","37,561","88,455","187,817","31,588","169,215","74,995","18,073","58,886","101,361","323,433","105,474","63,754","56,663","1,156,347","94,571","70,128","141,796","130,116","175,483","205,924","122,162","130,871","43,601","41,695","47,062",66766,160644,"Below",19635889
"225",2018,"Georgia","Estimate","8,312,043","5,245,825","4,953,466","249,896","42,463","3,066,218",NA,"4,326,653","2,529,842","2,395,358","53,220","337,361","533,153","125,871","551,765","347,393","115,297","300,328","619,142","1,015,521","466,952","244,016","243,447","3,803,012","268,881","157,261","363,031","361,681","486,626","676,742","467,779","541,351","224,434","255,226","58,756",82489,543141,"Below",19635889
"226",2018,"Georgia","Percent","8,312,043","63.1%","59.6%","3.0%","0.5%","36.9%",4.8,"4,326,653","58.5%","55.4%","1.1%","6.8%","10.8%","2.5%","11.1%","7.0%","2.3%","6.1%","12.5%","20.5%","9.4%","4.9%","4.9%","3,803,012","7.1%","4.1%","9.5%","9.5%","12.8%","17.8%","12.3%","14.2%","5.9%","6.7%","(X)",NA,543141,"",19635889
"227",2018,"Kentucky","Estimate","3,572,054","2,117,233","1,995,789","109,879","11,565","1,454,821",NA,"1,832,384","1,004,475","951,931","43,656","121,345","278,003","45,842","228,334","126,293","33,352","109,467","179,339","475,629","173,210","89,963","91,356","1,732,713","145,630","96,738","188,963","187,907","242,899","310,093","204,609","216,591","70,071","69,212","50,247",69724,262544,"Below",19635889
"228",2018,"Kentucky","Percent","3,572,054","59.3%","55.9%","3.1%","0.3%","40.7%",5.2,"1,832,384","54.8%","52.0%","2.2%","6.1%","13.9%","2.3%","11.4%","6.3%","1.7%","5.5%","9.0%","23.8%","8.7%","4.5%","4.6%","1,732,713","8.4%","5.6%","10.9%","10.8%","14.0%","17.9%","11.8%","12.5%","4.0%","4.0%","(X)",NA,262544,"",19635889
"229",2018,"Mississippi","Estimate","2,362,681","1,336,759","1,231,410","94,796","10,553","1,025,922",NA,"1,234,240","652,542","602,309","30,496","77,365","161,967","29,981","145,942","76,886","15,278","54,959","87,295","310,643","117,574","57,386","65,638","1,108,630","117,300","71,010","140,786","122,519","154,302","188,881","131,216","108,765","40,305","33,546","44,717",61944,169360,"Below",19635889
"230",2018,"Mississippi","Percent","2,362,681","56.6%","52.1%","4.0%","0.4%","43.4%",7.1,"1,234,240","52.9%","48.8%","2.5%","6.3%","13.2%","2.4%","11.9%","6.2%","1.2%","4.5%","7.1%","25.2%","9.5%","4.7%","5.3%","1,108,630","10.6%","6.4%","12.7%","11.1%","13.9%","17.0%","11.8%","9.8%","3.6%","3.0%","(X)",NA,169360,"",19635889
"231",2018,"Hawaii","Percent","1,147,756","65.6%","59.7%","2.4%","3.5%","34.4%",3.8,"575,645","61.2%","58.1%","1.3%","7.3%","3.0%","1.8%","11.2%","6.6%","1.4%","6.4%","10.3%","21.2%","16.9%","4.3%","8.4%","455,309","5.3%","2.2%","6.1%","7.2%","10.5%","15.5%","13.3%","20.1%","9.6%","10.2%","(X)",NA,61855,"",19635889
"232",2018,"Hawaii","Estimate","1,147,756","752,795","684,905","27,230","40,660","394,961",NA,"575,645","352,272","334,702","8,883","49,841","20,416","12,105","76,567","45,346","9,269","43,922","70,481","145,225","115,570","29,691","57,589","455,309","24,091","9,842","27,911","32,712","47,812","70,691","60,450","91,465","43,919","46,416","80,212",103162,61855,"Above",19635889
"233",2018,"Louisiana","Percent","3,682,861","58.9%","54.7%","3.7%","0.4%","41.1%",6.4,"1,907,064","55.1%","51.7%","3.5%","8.3%","7.7%","2.5%","11.3%","5.5%","1.4%","4.9%","9.6%","24.0%","11.0%","5.0%","5.4%","1,737,220","9.4%","5.9%","12.7%","10.8%","12.8%","15.9%","11.1%","12.3%","4.8%","4.4%","(X)",NA,241296,"",19635889
"234",2018,"Louisiana","Estimate","3,682,861","2,168,385","2,015,672","137,130","15,583","1,514,476",NA,"1,907,064","1,051,474","986,490","69,836","166,987","155,608","51,297","228,123","110,201","27,278","99,153","193,655","482,783","221,111","100,555","109,085","1,737,220","162,460","103,020","220,216","186,937","221,900","276,186","192,211","213,519","83,523","77,248","47,905",69225,241296,"Below",19635889
"235",2018,"Missouri","Percent","4,907,003","62.5%","59.5%","2.6%","0.3%","37.5%",4.2,"2,528,447","58.6%","56.4%","1.8%","6.6%","11.4%","2.6%","11.4%","5.4%","1.7%","6.9%","9.9%","24.0%","9.1%","4.8%","4.3%","2,434,806","6.3%","4.9%","10.1%","10.4%","14.4%","18.6%","12.4%","13.2%","4.8%","5.0%","(X)",NA,374401,"",19635889
"236",2018,"Missouri","Estimate","4,907,003","3,066,200","2,921,599","127,857","16,744","1,840,803",NA,"2,528,447","1,482,706","1,425,159","53,243","193,942","333,791","75,144","333,328","157,907","50,513","202,746","290,650","701,100","264,987","139,833","124,415","2,434,806","153,553","118,186","245,471","252,816","349,552","451,977","303,086","322,496","116,628","121,041","54,478",75013,374401,"Below",19635889
"237",2018,"Idaho","Percent","1,357,737","62.1%","59.4%","2.5%","0.2%","37.9%",4,"679,774","56.8%","54.3%","5.2%","8.2%","10.2%","2.8%","12.0%","4.5%","1.3%","5.2%","10.3%","22.1%","8.7%","4.4%","5.0%","640,270","5.5%","4.3%","10.2%","9.4%","15.3%","21.1%","12.4%","13.1%","4.5%","4.2%","(X)",NA,123482,"",19635889
"238",2018,"Idaho","Estimate","1,357,737","843,615","806,802","33,438","3,375","514,122",NA,"679,774","386,183","368,896","41,718","66,078","82,174","22,871","97,014","36,642","10,817","42,145","83,085","177,953","70,245","35,796","40,264","640,270","35,130","27,612","65,037","60,241","97,862","134,888","79,485","84,155","29,123","26,737","55,583",73369,123482,"Below",19635889
"239",2018,"Maine","Percent","1,120,239","62.9%","60.6%","2.2%","0.1%","37.1%",3.5,"576,141","59.7%","58.0%","2.5%","6.9%","8.6%","1.9%","13.1%","4.4%","1.5%","6.7%","9.5%","27.6%","8.6%","4.9%","3.8%","570,307","6.2%","5.5%","9.9%","9.4%","13.9%","18.1%","13.5%","14.1%","4.9%","4.3%","(X)",NA,71773,"",19635889
"240",2018,"Maine","Estimate","1,120,239","704,960","678,540","24,865","1,555","415,279",NA,"576,141","343,726","333,924","17,147","46,978","58,267","13,015","88,877","29,640","10,321","45,497","64,333","187,430","58,118","32,996","25,921","570,307","35,502","31,599","56,531","53,525","79,388","103,397","76,941","80,580","28,110","24,734","55,602",73935,71773,"Below",19635889
"241",2018,"Montana","Estimate","857,868","545,240","523,058","19,003","3,179","312,628",NA,"428,928","256,747","249,088","34,072","36,751","28,981","10,743","59,755","29,896","8,678","28,711","45,662","119,013","62,269","26,328","32,199","431,421","27,366","21,951","42,288","44,297","59,650","86,052","56,953","55,094","20,393","17,377","55,328",72648,49363,"Below",19635889
"242",2018,"Montana","Percent","857,868","63.6%","61.0%","2.2%","0.4%","36.4%",3.5,"428,928","59.9%","58.1%","6.5%","7.0%","5.5%","2.1%","11.4%","5.7%","1.7%","5.5%","8.7%","22.8%","11.9%","5.0%","6.2%","431,421","6.3%","5.1%","9.8%","10.3%","13.8%","19.9%","13.2%","12.8%","4.7%","4.0%","(X)",NA,49363,"",19635889
"243",2018,"Illinois","Estimate","10,216,304","6,676,623","6,294,086","368,739","13,798","3,539,681",NA,"5,241,678","3,180,732","3,002,307","68,671","340,773","741,270","177,032","662,419","430,628","115,383","451,448","760,131","1,460,524","571,290","292,359","222,158","4,864,864","309,799","187,148","427,493","412,667","565,254","836,927","607,741","763,597","352,091","402,147","65,030",91424,738448,"Above",19635889
"244",2018,"Illinois","Percent","10,216,304","65.4%","61.6%","3.6%","0.1%","34.6%",5.5,"5,241,678","60.7%","57.3%","1.1%","5.4%","11.8%","2.8%","10.5%","6.8%","1.8%","7.2%","12.1%","23.2%","9.1%","4.6%","3.5%","4,864,864","6.4%","3.8%","8.8%","8.5%","11.6%","17.2%","12.5%","15.7%","7.2%","8.3%","(X)",NA,738448,"",19635889
"245",2018,"Maryland","Estimate","4,852,950","3,283,636","3,090,469","160,777","32,390","1,569,314",NA,"2,531,544","1,613,909","1,526,134","15,641","220,424","138,126","49,239","289,973","146,792","60,204","183,204","480,841","736,247","266,570","175,124","328,084","2,215,935","107,054","65,054","129,919","132,980","219,847","346,974","292,683","417,093","226,406","277,925","83,242",109774,361440,"Above",19635889
"246",2018,"Maryland","Percent","4,852,950","67.7%","63.7%","3.3%","0.7%","32.3%",4.9,"2,531,544","63.8%","60.3%","0.5%","7.1%","4.5%","1.6%","9.4%","4.7%","1.9%","5.9%","15.6%","23.8%","8.6%","5.7%","10.6%","2,215,935","4.8%","2.9%","5.9%","6.0%","9.9%","15.7%","13.2%","18.8%","10.2%","12.5%","(X)",NA,361440,"",19635889
"247",2018,"Nebraska","Estimate","1,506,189","1,040,627","999,347","35,872","5,408","465,562",NA,"760,905","491,225","474,720","43,490","72,159","96,538","25,795","108,838","59,931","19,275","75,269","87,474","246,322","75,499","44,363","44,394","765,490","38,361","33,679","71,125","71,881","104,935","147,637","102,838","118,871","40,328","35,835","59,566",78793,134938,"Below",19635889
"248",2018,"Nebraska","Percent","1,506,189","69.1%","66.3%","2.4%","0.4%","30.9%",3.5,"760,905","64.6%","62.4%","4.4%","7.2%","9.7%","2.6%","10.9%","6.0%","1.9%","7.5%","8.8%","24.6%","7.6%","4.4%","4.4%","765,490","5.0%","4.4%","9.3%","9.4%","13.7%","19.3%","13.4%","15.5%","5.3%","4.7%","(X)",NA,134938,"",19635889
"249",2018,"Indiana","Estimate","5,303,153","3,391,849","3,238,769","149,266","3,814","1,911,304",NA,"2,717,645","1,612,608","1,540,769","40,996","196,142","629,324","76,288","353,805","177,590","41,823","172,837","269,438","735,088","280,791","149,014","115,633","2,599,169","159,391","114,524","260,205","261,032","366,215","501,655","355,463","358,383","121,121","101,180","55,746",73733,388193,"Below",19635889
"250",2018,"Indiana","Percent","5,303,153","64.0%","61.1%","2.8%","0.1%","36.0%",4.4,"2,717,645","59.3%","56.7%","1.3%","6.1%","19.4%","2.4%","10.9%","5.5%","1.3%","5.3%","8.3%","22.7%","8.7%","4.6%","3.6%","2,599,169","6.1%","4.4%","10.0%","10.0%","14.1%","19.3%","13.7%","13.8%","4.7%","3.9%","(X)",NA,388193,"",19635889
"251",2018,"Massachusetts","Percent","5,703,665","66.8%","63.5%","3.2%","0.1%","33.2%",4.8,"2,965,164","63.2%","60.4%","0.4%","5.6%","8.6%","2.1%","10.0%","4.1%","2.1%","7.3%","14.4%","28.4%","8.7%","4.7%","3.7%","2,624,294","5.4%","4.3%","7.3%","6.7%","9.3%","14.6%","11.8%","17.5%","9.8%","13.2%","(X)",NA,500076,"",19635889
"252",2018,"Massachusetts","Estimate","5,703,665","3,807,761","3,622,984","180,720","4,057","1,895,904",NA,"2,965,164","1,873,635","1,790,962","14,278","203,961","310,373","77,733","360,781","146,922","76,851","263,518","521,600","1,029,386","315,939","168,472","133,170","2,624,294","141,341","113,278","192,241","175,100","244,984","384,418","310,924","459,107","257,603","345,298","79,835",110501,500076,"Above",19635889
"253",2018,"Nevada","Estimate","2,420,990","1,539,795","1,446,090","85,276","8,429","881,195",NA,"1,212,263","715,934","675,050","20,512","109,882","67,616","30,177","161,963","92,135","22,667","78,138","162,451","235,069","339,367","67,433","58,680","1,129,810","74,368","41,667","98,090","105,881","161,294","207,580","150,362","163,703","66,152","60,713","58,646",81039,117798,"Below",19635889
"254",2018,"Nevada","Percent","2,420,990","63.6%","59.7%","3.5%","0.3%","36.4%",5.6,"1,212,263","59.1%","55.7%","1.4%","7.6%","4.7%","2.1%","11.2%","6.4%","1.6%","5.4%","11.2%","16.3%","23.5%","4.7%","4.1%","1,129,810","6.6%","3.7%","8.7%","9.4%","14.3%","18.4%","13.3%","14.5%","5.9%","5.4%","(X)",NA,117798,"",19635889
"255",2018,"Iowa","Estimate","2,506,580","1,678,071","1,615,999","60,717","1,355","828,509",NA,"1,274,961","799,282","770,792","55,931","99,730","244,422","44,363","193,329","83,327","23,298","121,852","114,447","396,587","124,491","65,574","48,648","1,267,873","69,432","54,690","114,217","119,692","171,801","244,306","181,944","190,059","62,459","59,273","59,955",77173,254049,"Below",19635889
"256",2018,"Iowa","Percent","2,506,580","66.9%","64.5%","2.4%","0.1%","33.1%",3.6,"1,274,961","62.7%","60.5%","3.5%","6.2%","15.1%","2.7%","12.0%","5.2%","1.4%","7.5%","7.1%","24.5%","7.7%","4.1%","3.0%","1,267,873","5.5%","4.3%","9.0%","9.4%","13.6%","19.3%","14.4%","15.0%","4.9%","4.7%","(X)",NA,254049,"",19635889
"257",2018,"Michigan","Estimate","8,092,018","4,977,773","4,708,456","265,532","3,785","3,114,245",NA,"4,142,957","2,361,344","2,244,244","52,073","261,657","885,248","105,681","500,757","212,300","60,815","249,818","449,833","1,094,332","459,106","218,435","158,401","3,957,466","270,623","176,624","378,941","388,491","537,519","726,677","504,604","550,625","219,321","204,041","56,697",77682,540750,"Below",19635889
"258",2018,"Michigan","Percent","8,092,018","61.5%","58.2%","3.3%","0.0%","38.5%",5.3,"4,142,957","57.0%","54.2%","1.1%","5.6%","18.8%","2.2%","10.6%","4.5%","1.3%","5.3%","9.6%","23.2%","9.8%","4.6%","3.4%","3,957,466","6.8%","4.5%","9.6%","9.8%","13.6%","18.4%","12.8%","13.9%","5.5%","5.2%","(X)",NA,540750,"",19635889
"259",2018,"New Hampshire","Estimate","1,129,682","757,313","729,001","26,906","1,406","372,369",NA,"574,735","359,732","349,180","5,650","49,619","92,892","17,065","93,598","25,966","13,263","43,855","85,558","176,651","64,992","33,440","26,452","531,212","22,512","17,139","40,894","42,542","56,207","86,337","73,167","99,456","44,619","48,339","74,991",97994,160750,"Above",19635889
"260",2018,"New Hampshire","Percent","1,129,682","67.0%","64.5%","2.4%","0.1%","33.0%",3.6,"574,735","62.6%","60.8%","0.8%","6.8%","12.7%","2.3%","12.8%","3.6%","1.8%","6.0%","11.7%","24.2%","8.9%","4.6%","3.6%","531,212","4.2%","3.2%","7.7%","8.0%","10.6%","16.3%","13.8%","18.7%","8.4%","9.1%","(X)",NA,160750,"",19635889
"261",2018,"Kansas","Estimate","2,284,670","1,515,474","1,442,550","57,197","15,727","769,196",NA,"1,153,274","707,537","678,428","46,126","93,468","177,169","40,496","148,821","77,115","25,313","92,503","139,696","354,237","115,882","63,264","68,460","1,133,408","64,305","49,887","108,104","114,242","154,661","211,915","149,661","157,853","64,408","58,372","58,218",78972,212734,"Below",19635889
"262",2018,"Kansas","Percent","2,284,670","66.3%","63.1%","2.5%","0.7%","33.7%",3.8,"1,153,274","61.4%","58.8%","3.2%","6.5%","12.3%","2.8%","10.3%","5.3%","1.8%","6.4%","9.7%","24.6%","8.0%","4.4%","4.7%","1,133,408","5.7%","4.4%","9.5%","10.1%","13.6%","18.7%","13.2%","13.9%","5.7%","5.2%","(X)",NA,212734,"",19635889
"263",2018,"Minnesota","Percent","4,451,949","69.2%","66.8%","2.4%","0.1%","30.8%",3.4,"2,250,026","65.9%","63.9%","2.2%","5.8%","13.1%","2.8%","11.2%","4.8%","1.6%","7.1%","9.8%","25.7%","8.1%","4.4%","3.5%","2,194,452","4.4%","3.8%","7.3%","7.9%","12.1%","17.4%","13.8%","17.8%","7.7%","7.6%","(X)",NA,409005,"",19635889
"264",2018,"Minnesota","Estimate","4,451,949","3,080,480","2,973,535","104,622","2,323","1,371,469",NA,"2,250,026","1,483,520","1,438,241","64,982","171,645","389,544","82,125","332,415","143,279","46,097","211,036","290,498","765,611","240,931","130,248","105,124","2,194,452","97,476","83,144","161,103","174,345","265,252","382,629","303,312","391,706","168,197","167,288","70,315",93047,409005,"Above",19635889
"265",2018,"New Jersey","Estimate","7,183,569","4,729,209","4,487,823","230,383","11,003","2,454,360",NA,"3,711,466","2,241,198","2,129,763","14,776","272,033","359,406","151,778","493,889","277,814","115,390","374,447","605,829","1,074,470","357,081","201,547","189,363","3,249,567","160,863","100,237","234,526","218,700","302,588","481,937","397,522","570,207","329,913","453,074","81,740",114853,414416,"Above",19635889
"266",2018,"New Jersey","Percent","7,183,569","65.8%","62.5%","3.2%","0.2%","34.2%",4.9,"3,711,466","60.4%","57.4%","0.3%","6.1%","8.0%","3.4%","11.0%","6.2%","2.6%","8.3%","13.5%","23.9%","8.0%","4.5%","4.2%","3,249,567","5.0%","3.1%","7.2%","6.7%","9.3%","14.8%","12.2%","17.5%","10.2%","13.9%","(X)",NA,414416,"",19635889
"267",2018,"Oregon","Estimate","3,417,703","2,138,616","2,029,021","106,955","2,640","1,279,087",NA,"1,736,580","1,009,328","958,844","63,584","135,580","229,085","52,769","229,445","92,419","32,031","107,092","235,187","460,393","202,424","97,911","91,101","1,639,970","87,029","65,916","140,123","146,428","210,631","297,632","222,273","253,841","106,788","109,309","63,426",85235,228089,"Above",19635889
"268",2018,"Oregon","Percent","3,417,703","62.6%","59.4%","3.1%","0.1%","37.4%",5,"1,736,580","58.1%","55.2%","3.1%","6.7%","11.3%","2.6%","11.3%","4.6%","1.6%","5.3%","11.6%","22.7%","10.0%","4.8%","4.5%","1,639,970","5.3%","4.0%","8.5%","8.9%","12.8%","18.1%","13.6%","15.5%","6.5%","6.7%","(X)",NA,228089,"",19635889
"269",2018,"Utah","Estimate","2,329,530","1,587,453","1,533,562","50,175","3,716","742,077",NA,"1,165,202","706,614","683,225","23,563","116,509","153,370","33,559","178,581","73,732","29,624","106,439","197,083","344,063","134,109","70,339","72,591","998,891","39,247","27,620","61,811","76,800","124,149","194,831","153,401","189,003","68,509","63,520","71,414",91096,359772,"Above",19635889
"270",2018,"Utah","Percent","2,329,530","68.1%","65.8%","2.2%","0.2%","31.9%",3.2,"1,165,202","60.6%","58.6%","1.5%","7.6%","10.0%","2.2%","11.6%","4.8%","1.9%","6.9%","12.9%","22.4%","8.7%","4.6%","4.7%","998,891","3.9%","2.8%","6.2%","7.7%","12.4%","19.5%","15.4%","18.9%","6.9%","6.4%","(X)",NA,359772,"",19635889
"271",2018,"New Mexico","Percent","1,673,778","56.2%","52.3%","3.4%","0.6%","43.8%",6.1,"850,491","52.1%","49.0%","4.4%","7.4%","4.0%","1.8%","11.5%","4.1%","1.4%","4.7%","12.4%","24.1%","11.3%","5.3%","7.6%","794,093","9.7%","6.3%","11.8%","11.0%","13.6%","17.4%","10.8%","11.4%","4.2%","3.9%","(X)",NA,123297,"",19635889
"272",2018,"New Mexico","Estimate","1,673,778","941,259","875,151","56,803","9,305","732,519",NA,"850,491","443,437","416,785","38,753","64,495","35,268","15,860","100,817","35,706","12,086","41,230","108,307","211,029","98,893","46,457","66,250","794,093","76,947","50,055","93,386","87,054","108,134","137,872","85,598","90,695","33,728","30,624","47,169",66752,123297,"Below",19635889
"273",2018,"Pennsylvania","Percent","10,470,798","62.8%","59.7%","3.1%","0.1%","37.2%",4.9,"5,391,150","58.7%","56.0%","1.3%","5.9%","11.7%","2.6%","11.3%","5.6%","1.6%","6.4%","10.6%","25.8%","8.3%","4.8%","4.0%","5,070,931","6.4%","4.4%","9.3%","9.3%","12.3%","17.8%","12.8%","15.1%","6.2%","6.5%","(X)",NA,700100,"",19635889
"274",2018,"Pennsylvania","Estimate","10,470,798","6,576,258","6,248,945","321,234","6,079","3,894,540",NA,"5,391,150","3,163,359","3,018,182","82,671","368,589","733,387","162,839","704,752","352,412","99,820","399,037","663,552","1,611,283","516,893","301,820","251,890","5,070,931","323,468","222,113","472,593","470,212","621,860","905,036","647,732","763,891","313,969","330,057","60,905",83765,700100,"Below",19635889
"275",2018,"Vermont","Percent","525,088","65.7%","63.0%","2.5%","0.1%","34.3%",3.8,"268,892","63.7%","62.0%","2.7%","6.8%","9.7%","2.0%","11.8%","3.0%","1.6%","4.2%","9.2%","29.6%","10.0%","4.7%","4.5%","261,373","5.9%","4.8%","8.4%","8.9%","12.5%","18.6%","14.7%","16.0%","5.4%","4.8%","(X)",NA,42914,"",19635889
"276",2018,"Vermont","Estimate","525,088","344,832","330,947","13,128","757","180,256",NA,"268,892","171,208","166,589","8,981","22,391","32,226","6,595","39,077","10,060","5,288","14,024","30,564","97,977","33,240","15,529","14,995","261,373","15,364","12,536","22,062","23,272","32,655","48,503","38,452","41,877","14,117","12,535","60,782",79514,42914,"Below",19635889
